VACATE_DATE,BOROUGH,NUMBER_OF_VACATE_ORDERS
01/01/2018 12:00:00 AM,BROOKLYN,30
01/01/2018 12:00:00 AM,BRONX,25
01/01/2018 12:00:00 AM,MANHATTAN,13
01/01/2018 12:00:00 AM,QUEENS,14
01/01/2018 12:00:00 AM,STATEN ISLAND,7
02/01/2018 12:00:00 AM,BROOKLYN,13
02/01/2018 12:00:00 AM,BRONX,26
02/01/2018 12:00:00 AM,MANHATTAN,10
02/01/2018 12:00:00 AM,QUEENS,11
02/01/2018 12:00:00 AM,STATEN ISLAND,5
03/01/2018 12:00:00 AM,BROOKLYN,18
03/01/2018 12:00:00 AM,BRONX,16
03/01/2018 12:00:00 AM,MANHATTAN,8
03/01/2018 12:00:00 AM,QUEENS,9
03/01/2018 12:00:00 AM,STATEN ISLAND,1
04/01/2018 12:00:00 AM,BROOKLYN,18
04/01/2018 12:00:00 AM,BRONX,14
04/01/2018 12:00:00 AM,MANHATTAN,6
04/01/2018 12:00:00 AM,QUEENS,9
04/01/2018 12:00:00 AM,STATEN ISLAND,2
05/01/2018 12:00:00 AM,BROOKLYN,16
05/01/2018 12:00:00 AM,BRONX,18
05/01/2018 12:00:00 AM,MANHATTAN,9
05/01/2018 12:00:00 AM,QUEENS,7
05/01/2018 12:00:00 AM,STATEN ISLAND,3
06/01/2018 12:00:00 AM,BROOKLYN,16
06/01/2018 12:00:00 AM,BRONX,10
06/01/2018 12:00:00 AM,MANHATTAN,5
06/01/2018 12:00:00 AM,QUEENS,11
07/01/2018 12:00:00 AM,BROOKLYN,22
07/01/2018 12:00:00 AM,BRONX,17
07/01/2018 12:00:00 AM,MANHATTAN,6
07/01/2018 12:00:00 AM,QUEENS,9
07/01/2018 12:00:00 AM,STATEN ISLAND,2
08/01/2018 12:00:00 AM,BROOKLYN,20
08/01/2018 12:00:00 AM,BRONX,20
08/01/2018 12:00:00 AM,MANHATTAN,5
08/01/2018 12:00:00 AM,QUEENS,12
09/01/2018 12:00:00 AM,BROOKLYN,12
09/01/2018 12:00:00 AM,BRONX,3
09/01/2018 12:00:00 AM,MANHATTAN,3
09/01/2018 12:00:00 AM,QUEENS,12
09/01/2018 12:00:00 AM,STATEN ISLAND,1
10/01/2018 12:00:00 AM,BROOKLYN,17
10/01/2018 12:00:00 AM,BRONX,13
10/01/2018 12:00:00 AM,MANHATTAN,9
10/01/2018 12:00:00 AM,QUEENS,10
10/01/2018 12:00:00 AM,STATEN ISLAND,1
11/01/2018 12:00:00 AM,BROOKLYN,18
11/01/2018 12:00:00 AM,BRONX,17
11/01/2018 12:00:00 AM,MANHATTAN,3
11/01/2018 12:00:00 AM,QUEENS,14
11/01/2018 12:00:00 AM,STATEN ISLAND,3
12/01/2018 12:00:00 AM,BROOKLYN,18
12/01/2018 12:00:00 AM,BRONX,9
12/01/2018 12:00:00 AM,MANHATTAN,5
12/01/2018 12:00:00 AM,QUEENS,10
12/01/2018 12:00:00 AM,STATEN ISLAND,1
01/01/2019 12:00:00 AM,BROOKLYN,17
01/01/2019 12:00:00 AM,BRONX,11
01/01/2019 12:00:00 AM,MANHATTAN,12
01/01/2019 12:00:00 AM,QUEENS,13
01/01/2019 12:00:00 AM,STATEN ISLAND,3
02/01/2019 12:00:00 AM,BROOKLYN,15
02/01/2019 12:00:00 AM,BRONX,10
02/01/2019 12:00:00 AM,MANHATTAN,7
02/01/2019 12:00:00 AM,QUEENS,15
02/01/2019 12:00:00 AM,STATEN ISLAND,2
03/01/2019 12:00:00 AM,BROOKLYN,16
03/01/2019 12:00:00 AM,BRONX,16
03/01/2019 12:00:00 AM,MANHATTAN,2
03/01/2019 12:00:00 AM,QUEENS,14
