OFNS_DESC,CMPLNT_NUM,CMPLNT_FR_DT
ABORTION,1,04/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,79,01/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,76,02/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,86,03/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,85,04/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,87,05/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,70,06/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,90,07/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,94,08/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,95,09/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,103,10/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,103,11/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,101,12/01/2018 12:00:00 AM
ADMINISTRATIVE CODE,67,01/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,81,02/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,94,03/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,83,04/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,93,05/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,99,06/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,94,07/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,103,08/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,95,09/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,93,10/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,104,11/01/2019 12:00:00 AM
ADMINISTRATIVE CODE,89,12/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,13,01/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,8,02/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,14,03/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,11,04/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,8,05/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,11,06/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,14,07/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,19,08/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,17,09/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,7,10/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,9,11/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,16,12/01/2018 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,12,01/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,9,02/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,10,03/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,14,04/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,10,05/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,7,06/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,13,07/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,9,08/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,13,09/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,14,10/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,5,11/01/2019 12:00:00 AM
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,12,12/01/2019 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,8,01/01/2018 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,6,02/01/2018 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,6,03/01/2018 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,8,04/01/2018 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,2,05/01/2018 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,13,06/01/2018 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,18,07/01/2018 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,9,08/01/2018 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,8,09/01/2018 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,5,10/01/2018 12:00:00 AM
ALCOHOLIC BEVERAGE CONTROL LAW,7,11/01/2018 12:00:00 AM
