CMPLNT_FR_DT,BORO_NM,CMPLNT_NUM
01/01/2018 12:00:00 AM,BRONX,8337
01/01/2018 12:00:00 AM,BROOKLYN,11193
01/01/2018 12:00:00 AM,MANHATTAN,9614
01/01/2018 12:00:00 AM,QUEENS,7450
01/01/2018 12:00:00 AM,STATEN ISLAND,1677
01/01/2018 12:00:00 AM,,19
02/01/2018 12:00:00 AM,BRONX,7800
02/01/2018 12:00:00 AM,BROOKLYN,10203
02/01/2018 12:00:00 AM,MANHATTAN,8859
02/01/2018 12:00:00 AM,QUEENS,6520
02/01/2018 12:00:00 AM,STATEN ISLAND,1528
02/01/2018 12:00:00 AM,,15
03/01/2018 12:00:00 AM,BRONX,8339
03/01/2018 12:00:00 AM,BROOKLYN,11284
03/01/2018 12:00:00 AM,MANHATTAN,9293
03/01/2018 12:00:00 AM,QUEENS,7187
03/01/2018 12:00:00 AM,STATEN ISLAND,1628
03/01/2018 12:00:00 AM,,27
04/01/2018 12:00:00 AM,BRONX,8257
04/01/2018 12:00:00 AM,BROOKLYN,11069
04/01/2018 12:00:00 AM,MANHATTAN,9423
04/01/2018 12:00:00 AM,QUEENS,7345
04/01/2018 12:00:00 AM,STATEN ISLAND,1772
04/01/2018 12:00:00 AM,,28
05/01/2018 12:00:00 AM,BRONX,8997
05/01/2018 12:00:00 AM,BROOKLYN,12370
05/01/2018 12:00:00 AM,MANHATTAN,10043
05/01/2018 12:00:00 AM,QUEENS,8241
05/01/2018 12:00:00 AM,STATEN ISLAND,1921
05/01/2018 12:00:00 AM,,35
06/01/2018 12:00:00 AM,BRONX,8685
06/01/2018 12:00:00 AM,BROOKLYN,11949
06/01/2018 12:00:00 AM,MANHATTAN,9921
06/01/2018 12:00:00 AM,QUEENS,8024
06/01/2018 12:00:00 AM,STATEN ISLAND,1848
06/01/2018 12:00:00 AM,,36
07/01/2018 12:00:00 AM,BRONX,9190
07/01/2018 12:00:00 AM,BROOKLYN,12654
07/01/2018 12:00:00 AM,MANHATTAN,10280
07/01/2018 12:00:00 AM,QUEENS,8397
07/01/2018 12:00:00 AM,STATEN ISLAND,1938
07/01/2018 12:00:00 AM,,34
08/01/2018 12:00:00 AM,BRONX,9206
08/01/2018 12:00:00 AM,BROOKLYN,12531
08/01/2018 12:00:00 AM,MANHATTAN,10385
08/01/2018 12:00:00 AM,QUEENS,8142
08/01/2018 12:00:00 AM,STATEN ISLAND,1877
08/01/2018 12:00:00 AM,,30
09/01/2018 12:00:00 AM,BRONX,8741
09/01/2018 12:00:00 AM,BROOKLYN,11817
09/01/2018 12:00:00 AM,MANHATTAN,9708
09/01/2018 12:00:00 AM,QUEENS,8046
09/01/2018 12:00:00 AM,STATEN ISLAND,1751
09/01/2018 12:00:00 AM,,28
10/01/2018 12:00:00 AM,BRONX,8678
10/01/2018 12:00:00 AM,BROOKLYN,11929
10/01/2018 12:00:00 AM,MANHATTAN,10206
10/01/2018 12:00:00 AM,QUEENS,7941
10/01/2018 12:00:00 AM,STATEN ISLAND,1867
10/01/2018 12:00:00 AM,,27
11/01/2018 12:00:00 AM,BRONX,8033
11/01/2018 12:00:00 AM,BROOKLYN,11377
11/01/2018 12:00:00 AM,MANHATTAN,9465
11/01/2018 12:00:00 AM,QUEENS,7655
11/01/2018 12:00:00 AM,STATEN ISLAND,1765
11/01/2018 12:00:00 AM,,22
12/01/2018 12:00:00 AM,BRONX,9138
12/01/2018 12:00:00 AM,BROOKLYN,12499
12/01/2018 12:00:00 AM,MANHATTAN,11054
12/01/2018 12:00:00 AM,QUEENS,8775
12/01/2018 12:00:00 AM,STATEN ISLAND,1966
12/01/2018 12:00:00 AM,,30
01/01/2019 12:00:00 AM,BRONX,7906
01/01/2019 12:00:00 AM,BROOKLYN,10663
01/01/2019 12:00:00 AM,MANHATTAN,8872
01/01/2019 12:00:00 AM,QUEENS,7061
01/01/2019 12:00:00 AM,STATEN ISLAND,1513
01/01/2019 12:00:00 AM,,24
02/01/2019 12:00:00 AM,BRONX,6972
02/01/2019 12:00:00 AM,BROOKLYN,9184
02/01/2019 12:00:00 AM,MANHATTAN,7911
02/01/2019 12:00:00 AM,QUEENS,6404
02/01/2019 12:00:00 AM,STATEN ISLAND,1360
02/01/2019 12:00:00 AM,,23
03/01/2019 12:00:00 AM,BRONX,8011
03/01/2019 12:00:00 AM,BROOKLYN,10539
03/01/2019 12:00:00 AM,MANHATTAN,9021
03/01/2019 12:00:00 AM,QUEENS,7329
03/01/2019 12:00:00 AM,STATEN ISLAND,1480
03/01/2019 12:00:00 AM,,16
04/01/2019 12:00:00 AM,BRONX,7995
04/01/2019 12:00:00 AM,BROOKLYN,10485
04/01/2019 12:00:00 AM,MANHATTAN,9262
04/01/2019 12:00:00 AM,QUEENS,7116
04/01/2019 12:00:00 AM,STATEN ISLAND,1502
04/01/2019 12:00:00 AM,,20
05/01/2019 12:00:00 AM,BRONX,8845
05/01/2019 12:00:00 AM,BROOKLYN,11563
05/01/2019 12:00:00 AM,MANHATTAN,9994
05/01/2019 12:00:00 AM,QUEENS,8079
05/01/2019 12:00:00 AM,STATEN ISLAND,1678
05/01/2019 12:00:00 AM,,17
06/01/2019 12:00:00 AM,BRONX,8508
06/01/2019 12:00:00 AM,BROOKLYN,11450
06/01/2019 12:00:00 AM,MANHATTAN,10219
06/01/2019 12:00:00 AM,QUEENS,8044
06/01/2019 12:00:00 AM,STATEN ISLAND,1677
06/01/2019 12:00:00 AM,,29
07/01/2019 12:00:00 AM,BRONX,9389
07/01/2019 12:00:00 AM,BROOKLYN,12195
07/01/2019 12:00:00 AM,MANHATTAN,10455
07/01/2019 12:00:00 AM,QUEENS,8511
07/01/2019 12:00:00 AM,STATEN ISLAND,1730
07/01/2019 12:00:00 AM,,34
08/01/2019 12:00:00 AM,BRONX,9066
08/01/2019 12:00:00 AM,BROOKLYN,11654
08/01/2019 12:00:00 AM,MANHATTAN,10369
08/01/2019 12:00:00 AM,QUEENS,8258
08/01/2019 12:00:00 AM,STATEN ISLAND,1555
08/01/2019 12:00:00 AM,,36
09/01/2019 12:00:00 AM,BRONX,8746
09/01/2019 12:00:00 AM,BROOKLYN,11631
09/01/2019 12:00:00 AM,MANHATTAN,10305
09/01/2019 12:00:00 AM,QUEENS,7862
09/01/2019 12:00:00 AM,STATEN ISLAND,1709
09/01/2019 12:00:00 AM,,30
10/01/2019 12:00:00 AM,BRONX,8617
10/01/2019 12:00:00 AM,BROOKLYN,11345
10/01/2019 12:00:00 AM,MANHATTAN,10295
10/01/2019 12:00:00 AM,QUEENS,7796
10/01/2019 12:00:00 AM,STATEN ISLAND,1657
10/01/2019 12:00:00 AM,,34
11/01/2019 12:00:00 AM,BRONX,8069
11/01/2019 12:00:00 AM,BROOKLYN,10381
11/01/2019 12:00:00 AM,MANHATTAN,9323
11/01/2019 12:00:00 AM,QUEENS,7655
11/01/2019 12:00:00 AM,STATEN ISLAND,1463
11/01/2019 12:00:00 AM,,24
12/01/2019 12:00:00 AM,BRONX,7975
12/01/2019 12:00:00 AM,BROOKLYN,10331
12/01/2019 12:00:00 AM,MANHATTAN,9292
12/01/2019 12:00:00 AM,QUEENS,7481
12/01/2019 12:00:00 AM,STATEN ISLAND,1477
12/01/2019 12:00:00 AM,,21
01/01/2020 12:00:00 AM,BRONX,8352
01/01/2020 12:00:00 AM,BROOKLYN,10810
01/01/2020 12:00:00 AM,MANHATTAN,9812
01/01/2020 12:00:00 AM,QUEENS,7821
01/01/2020 12:00:00 AM,STATEN ISLAND,1608
01/01/2020 12:00:00 AM,,30
02/01/2020 12:00:00 AM,BRONX,7522
02/01/2020 12:00:00 AM,BROOKLYN,10032
02/01/2020 12:00:00 AM,MANHATTAN,8966
02/01/2020 12:00:00 AM,QUEENS,7303
02/01/2020 12:00:00 AM,STATEN ISLAND,1484
02/01/2020 12:00:00 AM,,23
03/01/2020 12:00:00 AM,BRONX,7233
03/01/2020 12:00:00 AM,BROOKLYN,9559
03/01/2020 12:00:00 AM,MANHATTAN,7666
03/01/2020 12:00:00 AM,QUEENS,6559
03/01/2020 12:00:00 AM,STATEN ISLAND,1384
03/01/2020 12:00:00 AM,,19
04/01/2020 12:00:00 AM,BRONX,5789
04/01/2020 12:00:00 AM,BROOKLYN,7317
04/01/2020 12:00:00 AM,MANHATTAN,5161
04/01/2020 12:00:00 AM,QUEENS,5315
04/01/2020 12:00:00 AM,STATEN ISLAND,1147
04/01/2020 12:00:00 AM,,37
05/01/2020 12:00:00 AM,BRONX,7489
05/01/2020 12:00:00 AM,BROOKLYN,9400
05/01/2020 12:00:00 AM,MANHATTAN,6806
05/01/2020 12:00:00 AM,QUEENS,6962
05/01/2020 12:00:00 AM,STATEN ISLAND,1282
05/01/2020 12:00:00 AM,,37
06/01/2020 12:00:00 AM,BRONX,7306
06/01/2020 12:00:00 AM,BROOKLYN,9250
06/01/2020 12:00:00 AM,MANHATTAN,7444
06/01/2020 12:00:00 AM,QUEENS,7083
06/01/2020 12:00:00 AM,STATEN ISLAND,1324
06/01/2020 12:00:00 AM,,43
07/01/2020 12:00:00 AM,BRONX,7482
07/01/2020 12:00:00 AM,BROOKLYN,10392
07/01/2020 12:00:00 AM,MANHATTAN,8042
07/01/2020 12:00:00 AM,QUEENS,7961
07/01/2020 12:00:00 AM,STATEN ISLAND,1383
07/01/2020 12:00:00 AM,,56
08/01/2020 12:00:00 AM,BRONX,7916
08/01/2020 12:00:00 AM,BROOKLYN,10885
08/01/2020 12:00:00 AM,MANHATTAN,8537
08/01/2020 12:00:00 AM,QUEENS,8320
08/01/2020 12:00:00 AM,STATEN ISLAND,1482
08/01/2020 12:00:00 AM,,57
09/01/2020 12:00:00 AM,BRONX,7535
09/01/2020 12:00:00 AM,BROOKLYN,10229
09/01/2020 12:00:00 AM,MANHATTAN,8696
09/01/2020 12:00:00 AM,QUEENS,7655
09/01/2020 12:00:00 AM,STATEN ISLAND,1475
09/01/2020 12:00:00 AM,,61
10/01/2020 12:00:00 AM,BRONX,7921
10/01/2020 12:00:00 AM,BROOKLYN,10341
10/01/2020 12:00:00 AM,MANHATTAN,9009
10/01/2020 12:00:00 AM,QUEENS,7963
10/01/2020 12:00:00 AM,STATEN ISLAND,1491
10/01/2020 12:00:00 AM,,41
11/01/2020 12:00:00 AM,BRONX,7588
11/01/2020 12:00:00 AM,BROOKLYN,9713
11/01/2020 12:00:00 AM,MANHATTAN,7940
11/01/2020 12:00:00 AM,QUEENS,7351
11/01/2020 12:00:00 AM,STATEN ISLAND,1333
11/01/2020 12:00:00 AM,,30
12/01/2020 12:00:00 AM,BRONX,6859
12/01/2020 12:00:00 AM,BROOKLYN,8631
12/01/2020 12:00:00 AM,MANHATTAN,7200
12/01/2020 12:00:00 AM,QUEENS,6697
12/01/2020 12:00:00 AM,STATEN ISLAND,1216
12/01/2020 12:00:00 AM,,29
