VACATE EFFECTIVE DATE,BOROUGH,VACATE ORDER NUMBER
01/01/2018 12:00:00 AM,BK,30
01/01/2018 12:00:00 AM,BX,25
01/01/2018 12:00:00 AM,MN,13
01/01/2018 12:00:00 AM,QN,14
01/01/2018 12:00:00 AM,SI,7
02/01/2018 12:00:00 AM,BK,13
02/01/2018 12:00:00 AM,BX,26
02/01/2018 12:00:00 AM,MN,10
02/01/2018 12:00:00 AM,QN,11
02/01/2018 12:00:00 AM,SI,5
03/01/2018 12:00:00 AM,BK,18
03/01/2018 12:00:00 AM,BX,16
03/01/2018 12:00:00 AM,MN,8
03/01/2018 12:00:00 AM,QN,9
03/01/2018 12:00:00 AM,SI,1
04/01/2018 12:00:00 AM,BK,18
04/01/2018 12:00:00 AM,BX,14
04/01/2018 12:00:00 AM,MN,6
04/01/2018 12:00:00 AM,QN,9
04/01/2018 12:00:00 AM,SI,2
05/01/2018 12:00:00 AM,BK,16
05/01/2018 12:00:00 AM,BX,18
05/01/2018 12:00:00 AM,MN,9
05/01/2018 12:00:00 AM,QN,7
05/01/2018 12:00:00 AM,SI,3
06/01/2018 12:00:00 AM,BK,16
06/01/2018 12:00:00 AM,BX,10
06/01/2018 12:00:00 AM,MN,5
06/01/2018 12:00:00 AM,QN,11
07/01/2018 12:00:00 AM,BK,22
07/01/2018 12:00:00 AM,BX,17
07/01/2018 12:00:00 AM,MN,6
07/01/2018 12:00:00 AM,QN,9
07/01/2018 12:00:00 AM,SI,2
08/01/2018 12:00:00 AM,BK,20
08/01/2018 12:00:00 AM,BX,20
08/01/2018 12:00:00 AM,MN,5
08/01/2018 12:00:00 AM,QN,12
09/01/2018 12:00:00 AM,BK,12
09/01/2018 12:00:00 AM,BX,3
09/01/2018 12:00:00 AM,MN,3
09/01/2018 12:00:00 AM,QN,12
09/01/2018 12:00:00 AM,SI,1
10/01/2018 12:00:00 AM,BK,17
10/01/2018 12:00:00 AM,BX,13
10/01/2018 12:00:00 AM,MN,9
10/01/2018 12:00:00 AM,QN,10
10/01/2018 12:00:00 AM,SI,1
11/01/2018 12:00:00 AM,BK,18
11/01/2018 12:00:00 AM,BX,17
11/01/2018 12:00:00 AM,MN,3
11/01/2018 12:00:00 AM,QN,14
11/01/2018 12:00:00 AM,SI,3
12/01/2018 12:00:00 AM,BK,18
12/01/2018 12:00:00 AM,BX,9
12/01/2018 12:00:00 AM,MN,5
12/01/2018 12:00:00 AM,QN,10
12/01/2018 12:00:00 AM,SI,1
01/01/2019 12:00:00 AM,BK,17
01/01/2019 12:00:00 AM,BX,11
01/01/2019 12:00:00 AM,MN,12
01/01/2019 12:00:00 AM,QN,13
01/01/2019 12:00:00 AM,SI,3
02/01/2019 12:00:00 AM,BK,15
02/01/2019 12:00:00 AM,BX,10
02/01/2019 12:00:00 AM,MN,7
02/01/2019 12:00:00 AM,QN,15
02/01/2019 12:00:00 AM,SI,2
03/01/2019 12:00:00 AM,BK,16
03/01/2019 12:00:00 AM,BX,16
03/01/2019 12:00:00 AM,MN,2
03/01/2019 12:00:00 AM,QN,14
03/01/2019 12:00:00 AM,SI,3
04/01/2019 12:00:00 AM,BK,17
04/01/2019 12:00:00 AM,BX,15
04/01/2019 12:00:00 AM,MN,3
04/01/2019 12:00:00 AM,QN,12
05/01/2019 12:00:00 AM,BK,11
05/01/2019 12:00:00 AM,BX,8
05/01/2019 12:00:00 AM,MN,3
05/01/2019 12:00:00 AM,QN,7
06/01/2019 12:00:00 AM,BK,8
06/01/2019 12:00:00 AM,BX,13
06/01/2019 12:00:00 AM,MN,7
06/01/2019 12:00:00 AM,QN,14
06/01/2019 12:00:00 AM,SI,2
07/01/2019 12:00:00 AM,BK,24
07/01/2019 12:00:00 AM,BX,13
07/01/2019 12:00:00 AM,MN,8
07/01/2019 12:00:00 AM,QN,11
07/01/2019 12:00:00 AM,SI,2
08/01/2019 12:00:00 AM,BK,20
08/01/2019 12:00:00 AM,BX,14
08/01/2019 12:00:00 AM,MN,5
08/01/2019 12:00:00 AM,QN,8
08/01/2019 12:00:00 AM,SI,1
09/01/2019 12:00:00 AM,BK,16
09/01/2019 12:00:00 AM,BX,15
09/01/2019 12:00:00 AM,MN,5
09/01/2019 12:00:00 AM,QN,11
09/01/2019 12:00:00 AM,SI,1
10/01/2019 12:00:00 AM,BK,21
10/01/2019 12:00:00 AM,BX,7
10/01/2019 12:00:00 AM,MN,5
10/01/2019 12:00:00 AM,QN,14
10/01/2019 12:00:00 AM,SI,2
11/01/2019 12:00:00 AM,BK,16
11/01/2019 12:00:00 AM,BX,7
11/01/2019 12:00:00 AM,MN,9
11/01/2019 12:00:00 AM,QN,10
11/01/2019 12:00:00 AM,SI,1
12/01/2019 12:00:00 AM,BK,13
12/01/2019 12:00:00 AM,BX,10
12/01/2019 12:00:00 AM,MN,3
12/01/2019 12:00:00 AM,QN,13
01/01/2020 12:00:00 AM,BK,18
01/01/2020 12:00:00 AM,BX,16
01/01/2020 12:00:00 AM,MN,8
01/01/2020 12:00:00 AM,QN,8
02/01/2020 12:00:00 AM,BK,22
02/01/2020 12:00:00 AM,BX,15
02/01/2020 12:00:00 AM,MN,3
02/01/2020 12:00:00 AM,QN,9
02/01/2020 12:00:00 AM,SI,2
03/01/2020 12:00:00 AM,BK,21
03/01/2020 12:00:00 AM,BX,6
03/01/2020 12:00:00 AM,MN,9
03/01/2020 12:00:00 AM,QN,6
03/01/2020 12:00:00 AM,SI,3
04/01/2020 12:00:00 AM,BK,15
04/01/2020 12:00:00 AM,BX,14
04/01/2020 12:00:00 AM,MN,5
04/01/2020 12:00:00 AM,QN,9
04/01/2020 12:00:00 AM,SI,1
05/01/2020 12:00:00 AM,BK,5
05/01/2020 12:00:00 AM,BX,2
05/01/2020 12:00:00 AM,MN,2
05/01/2020 12:00:00 AM,QN,1
06/01/2020 12:00:00 AM,BK,4
06/01/2020 12:00:00 AM,BX,6
06/01/2020 12:00:00 AM,MN,3
06/01/2020 12:00:00 AM,QN,3
06/01/2020 12:00:00 AM,SI,1
07/01/2020 12:00:00 AM,BK,13
07/01/2020 12:00:00 AM,BX,9
07/01/2020 12:00:00 AM,MN,4
07/01/2020 12:00:00 AM,QN,5
08/01/2020 12:00:00 AM,BK,13
08/01/2020 12:00:00 AM,BX,11
08/01/2020 12:00:00 AM,MN,10
08/01/2020 12:00:00 AM,QN,6
09/01/2020 12:00:00 AM,BK,15
09/01/2020 12:00:00 AM,BX,11
09/01/2020 12:00:00 AM,MN,4
09/01/2020 12:00:00 AM,QN,12
09/01/2020 12:00:00 AM,SI,5
10/01/2020 12:00:00 AM,BK,12
10/01/2020 12:00:00 AM,BX,9
10/01/2020 12:00:00 AM,MN,12
10/01/2020 12:00:00 AM,QN,8
10/01/2020 12:00:00 AM,SI,2
11/01/2020 12:00:00 AM,BK,8
11/01/2020 12:00:00 AM,BX,6
11/01/2020 12:00:00 AM,MN,4
11/01/2020 12:00:00 AM,QN,5
11/01/2020 12:00:00 AM,SI,2
12/01/2020 12:00:00 AM,BK,16
12/01/2020 12:00:00 AM,BX,7
12/01/2020 12:00:00 AM,MN,9
12/01/2020 12:00:00 AM,QN,13
12/01/2020 12:00:00 AM,SI,1
01/01/2021 12:00:00 AM,BK,19
01/01/2021 12:00:00 AM,BX,16
01/01/2021 12:00:00 AM,MN,6
01/01/2021 12:00:00 AM,QN,12
01/01/2021 12:00:00 AM,SI,1
02/01/2021 12:00:00 AM,BK,13
02/01/2021 12:00:00 AM,BX,5
02/01/2021 12:00:00 AM,MN,3
02/01/2021 12:00:00 AM,QN,6
02/01/2021 12:00:00 AM,SI,2
03/01/2021 12:00:00 AM,BK,9
03/01/2021 12:00:00 AM,BX,21
03/01/2021 12:00:00 AM,MN,10
03/01/2021 12:00:00 AM,QN,16
03/01/2021 12:00:00 AM,SI,2
04/01/2021 12:00:00 AM,BK,12
04/01/2021 12:00:00 AM,BX,16
04/01/2021 12:00:00 AM,MN,7
04/01/2021 12:00:00 AM,QN,11
05/01/2021 12:00:00 AM,BK,8
05/01/2021 12:00:00 AM,BX,6
05/01/2021 12:00:00 AM,MN,2
05/01/2021 12:00:00 AM,QN,6
05/01/2021 12:00:00 AM,SI,2
