YEAR_OF_COMPLAINT,BOROUGH,VIOLATION_TYPE,NUMBER_OF_VIOLATIONS
2018,MANHATTAN,Boilers,342
2018,MANHATTAN,Construction,14250
2018,MANHATTAN,Cranes and Derricks,164
2018,MANHATTAN,Elevators,2271
2018,MANHATTAN,Local Law,1619
2018,MANHATTAN,Plumbing,350
2018,MANHATTAN,Public Assembly,3
2018,MANHATTAN,Quality of Life,205
2018,MANHATTAN,Signs,133
2018,MANHATTAN,Site Safety,35
2018,MANHATTAN,Unknown,1042
2018,MANHATTAN,Zoning,122
2018,BRONX,Boilers,682
2018,BRONX,Construction,9472
2018,BRONX,Cranes and Derricks,46
2018,BRONX,Elevators,1123
2018,BRONX,Local Law,538
2018,BRONX,Plumbing,86
2018,BRONX,Public Assembly,3
2018,BRONX,Quality of Life,145
2018,BRONX,Signs,61
2018,BRONX,Site Safety,25
2018,BRONX,Unknown,508
2018,BRONX,Zoning,103
2018,BROOKLYN,Boilers,562
2018,BROOKLYN,Construction,23778
2018,BROOKLYN,Cranes and Derricks,158
2018,BROOKLYN,Elevators,1669
2018,BROOKLYN,Local Law,560
2018,BROOKLYN,Plumbing,334
2018,BROOKLYN,Quality of Life,228
2018,BROOKLYN,Signs,227
2018,BROOKLYN,Site Safety,157
2018,BROOKLYN,Unknown,1441
2018,BROOKLYN,Zoning,456
2018,QUEENS,Boilers,662
2018,QUEENS,Construction,17783
2018,QUEENS,Cranes and Derricks,93
2018,QUEENS,Elevators,705
2018,QUEENS,Local Law,345
2018,QUEENS,Plumbing,168
2018,QUEENS,Public Assembly,2
2018,QUEENS,Quality of Life,348
2018,QUEENS,Signs,62
2018,QUEENS,Site Safety,56
2018,QUEENS,Unknown,675
2018,QUEENS,Zoning,1075
2018,STATEN ISLAND,Boilers,30
2018,STATEN ISLAND,Construction,2312
2018,STATEN ISLAND,Cranes and Derricks,5
2018,STATEN ISLAND,Elevators,60
2018,STATEN ISLAND,Local Law,33
2018,STATEN ISLAND,Plumbing,27
2018,STATEN ISLAND,Quality of Life,33
2018,STATEN ISLAND,Signs,50
2018,STATEN ISLAND,Site Safety,2
2018,STATEN ISLAND,Unknown,75
2018,STATEN ISLAND,Zoning,72
2019,MANHATTAN,Boilers,78
2019,MANHATTAN,Construction,14808
2019,MANHATTAN,Cranes and Derricks,216
2019,MANHATTAN,Elevators,1636
2019,MANHATTAN,Local Law,68
2019,MANHATTAN,Plumbing,80
2019,MANHATTAN,Quality of Life,493
2019,MANHATTAN,Signs,243
2019,MANHATTAN,Site Safety,201
2019,MANHATTAN,Unknown,1822
2019,MANHATTAN,Zoning,151
2019,BRONX,Boilers,67
2019,BRONX,Construction,8902
2019,BRONX,Cranes and Derricks,45
2019,BRONX,Elevators,1420
2019,BRONX,Local Law,25
2019,BRONX,Plumbing,26
2019,BRONX,Quality of Life,263
2019,BRONX,Signs,113
2019,BRONX,Site Safety,110
2019,BRONX,Unknown,785
2019,BRONX,Zoning,30
2019,BROOKLYN,Boilers,67
2019,BROOKLYN,Construction,24934
2019,BROOKLYN,Cranes and Derricks,148
2019,BROOKLYN,Elevators,971
2019,BROOKLYN,Local Law,17
2019,BROOKLYN,Plumbing,82
2019,BROOKLYN,Public Assembly,3
2019,BROOKLYN,Quality of Life,424
2019,BROOKLYN,Signs,177
2019,BROOKLYN,Site Safety,587
2019,BROOKLYN,Unknown,2431
2019,BROOKLYN,Zoning,359
