VIOLATION_ISSUE_DATE,NUMBER_OF_VIOLATIONS,BOROUGH
01/01/2018 12:00:00 AM,13430,BRONX
01/01/2018 12:00:00 AM,17188,BROOKLYN
01/01/2018 12:00:00 AM,8279,MANHATTAN
01/01/2018 12:00:00 AM,4191,QUEENS
01/01/2018 12:00:00 AM,545,STATEN ISLAND
02/01/2018 12:00:00 AM,12668,BRONX
02/01/2018 12:00:00 AM,16124,BROOKLYN
02/01/2018 12:00:00 AM,9987,MANHATTAN
02/01/2018 12:00:00 AM,3197,QUEENS
02/01/2018 12:00:00 AM,472,STATEN ISLAND
03/01/2018 12:00:00 AM,14376,BRONX
03/01/2018 12:00:00 AM,18293,BROOKLYN
03/01/2018 12:00:00 AM,11053,MANHATTAN
03/01/2018 12:00:00 AM,3515,QUEENS
03/01/2018 12:00:00 AM,522,STATEN ISLAND
04/01/2018 12:00:00 AM,14039,BRONX
04/01/2018 12:00:00 AM,17638,BROOKLYN
04/01/2018 12:00:00 AM,10508,MANHATTAN
04/01/2018 12:00:00 AM,3780,QUEENS
04/01/2018 12:00:00 AM,563,STATEN ISLAND
05/01/2018 12:00:00 AM,14644,BRONX
05/01/2018 12:00:00 AM,16761,BROOKLYN
05/01/2018 12:00:00 AM,12224,MANHATTAN
05/01/2018 12:00:00 AM,3685,QUEENS
05/01/2018 12:00:00 AM,446,STATEN ISLAND
06/01/2018 12:00:00 AM,13074,BRONX
06/01/2018 12:00:00 AM,15877,BROOKLYN
06/01/2018 12:00:00 AM,11060,MANHATTAN
06/01/2018 12:00:00 AM,3767,QUEENS
06/01/2018 12:00:00 AM,489,STATEN ISLAND
07/01/2018 12:00:00 AM,12975,BRONX
07/01/2018 12:00:00 AM,18492,BROOKLYN
07/01/2018 12:00:00 AM,11708,MANHATTAN
07/01/2018 12:00:00 AM,4128,QUEENS
07/01/2018 12:00:00 AM,436,STATEN ISLAND
08/01/2018 12:00:00 AM,15370,BRONX
08/01/2018 12:00:00 AM,19832,BROOKLYN
08/01/2018 12:00:00 AM,12242,MANHATTAN
08/01/2018 12:00:00 AM,4440,QUEENS
08/01/2018 12:00:00 AM,535,STATEN ISLAND
09/01/2018 12:00:00 AM,15832,BRONX
09/01/2018 12:00:00 AM,16227,BROOKLYN
09/01/2018 12:00:00 AM,11882,MANHATTAN
09/01/2018 12:00:00 AM,4001,QUEENS
09/01/2018 12:00:00 AM,814,STATEN ISLAND
10/01/2018 12:00:00 AM,19515,BRONX
10/01/2018 12:00:00 AM,20556,BROOKLYN
10/01/2018 12:00:00 AM,12153,MANHATTAN
10/01/2018 12:00:00 AM,4633,QUEENS
10/01/2018 12:00:00 AM,1075,STATEN ISLAND
11/01/2018 12:00:00 AM,14889,BRONX
11/01/2018 12:00:00 AM,17791,BROOKLYN
11/01/2018 12:00:00 AM,9478,MANHATTAN
11/01/2018 12:00:00 AM,5169,QUEENS
11/01/2018 12:00:00 AM,755,STATEN ISLAND
12/01/2018 12:00:00 AM,15465,BRONX
12/01/2018 12:00:00 AM,18628,BROOKLYN
12/01/2018 12:00:00 AM,8787,MANHATTAN
12/01/2018 12:00:00 AM,5229,QUEENS
12/01/2018 12:00:00 AM,782,STATEN ISLAND
01/01/2019 12:00:00 AM,15610,BRONX
01/01/2019 12:00:00 AM,20161,BROOKLYN
01/01/2019 12:00:00 AM,10381,MANHATTAN
01/01/2019 12:00:00 AM,4562,QUEENS
01/01/2019 12:00:00 AM,846,STATEN ISLAND
02/01/2019 12:00:00 AM,14599,BRONX
02/01/2019 12:00:00 AM,19245,BROOKLYN
02/01/2019 12:00:00 AM,10739,MANHATTAN
02/01/2019 12:00:00 AM,4184,QUEENS
02/01/2019 12:00:00 AM,728,STATEN ISLAND
03/01/2019 12:00:00 AM,14538,BRONX
03/01/2019 12:00:00 AM,19645,BROOKLYN
03/01/2019 12:00:00 AM,11670,MANHATTAN
03/01/2019 12:00:00 AM,4859,QUEENS
03/01/2019 12:00:00 AM,869,STATEN ISLAND
04/01/2019 12:00:00 AM,17922,BRONX
04/01/2019 12:00:00 AM,19435,BROOKLYN
04/01/2019 12:00:00 AM,12011,MANHATTAN
04/01/2019 12:00:00 AM,4688,QUEENS
04/01/2019 12:00:00 AM,764,STATEN ISLAND
05/01/2019 12:00:00 AM,16421,BRONX
05/01/2019 12:00:00 AM,20636,BROOKLYN
05/01/2019 12:00:00 AM,12602,MANHATTAN
05/01/2019 12:00:00 AM,4305,QUEENS
05/01/2019 12:00:00 AM,653,STATEN ISLAND
06/01/2019 12:00:00 AM,14872,BRONX
06/01/2019 12:00:00 AM,17471,BROOKLYN
06/01/2019 12:00:00 AM,10679,MANHATTAN
06/01/2019 12:00:00 AM,3850,QUEENS
06/01/2019 12:00:00 AM,540,STATEN ISLAND
07/01/2019 12:00:00 AM,16516,BRONX
07/01/2019 12:00:00 AM,20380,BROOKLYN
07/01/2019 12:00:00 AM,12040,MANHATTAN
07/01/2019 12:00:00 AM,4685,QUEENS
07/01/2019 12:00:00 AM,535,STATEN ISLAND
08/01/2019 12:00:00 AM,16176,BRONX
08/01/2019 12:00:00 AM,20651,BROOKLYN
08/01/2019 12:00:00 AM,11600,MANHATTAN
08/01/2019 12:00:00 AM,4053,QUEENS
08/01/2019 12:00:00 AM,743,STATEN ISLAND
09/01/2019 12:00:00 AM,15640,BRONX
09/01/2019 12:00:00 AM,21181,BROOKLYN
09/01/2019 12:00:00 AM,9750,MANHATTAN
09/01/2019 12:00:00 AM,3755,QUEENS
09/01/2019 12:00:00 AM,487,STATEN ISLAND
10/01/2019 12:00:00 AM,16246,BRONX
10/01/2019 12:00:00 AM,21451,BROOKLYN
10/01/2019 12:00:00 AM,9506,MANHATTAN
10/01/2019 12:00:00 AM,3823,QUEENS
10/01/2019 12:00:00 AM,617,STATEN ISLAND
11/01/2019 12:00:00 AM,13749,BRONX
11/01/2019 12:00:00 AM,18635,BROOKLYN
11/01/2019 12:00:00 AM,9647,MANHATTAN
11/01/2019 12:00:00 AM,4124,QUEENS
11/01/2019 12:00:00 AM,685,STATEN ISLAND
12/01/2019 12:00:00 AM,14352,BRONX
12/01/2019 12:00:00 AM,18868,BROOKLYN
12/01/2019 12:00:00 AM,10057,MANHATTAN
12/01/2019 12:00:00 AM,4658,QUEENS
12/01/2019 12:00:00 AM,971,STATEN ISLAND
01/01/2020 12:00:00 AM,13876,BRONX
01/01/2020 12:00:00 AM,20237,BROOKLYN
01/01/2020 12:00:00 AM,10527,MANHATTAN
01/01/2020 12:00:00 AM,4635,QUEENS
01/01/2020 12:00:00 AM,521,STATEN ISLAND
02/01/2020 12:00:00 AM,14188,BRONX
02/01/2020 12:00:00 AM,19681,BROOKLYN
02/01/2020 12:00:00 AM,9117,MANHATTAN
02/01/2020 12:00:00 AM,4274,QUEENS
02/01/2020 12:00:00 AM,520,STATEN ISLAND
03/01/2020 12:00:00 AM,9932,BRONX
03/01/2020 12:00:00 AM,15111,BROOKLYN
03/01/2020 12:00:00 AM,7363,MANHATTAN
03/01/2020 12:00:00 AM,3323,QUEENS
03/01/2020 12:00:00 AM,470,STATEN ISLAND
04/01/2020 12:00:00 AM,2339,BRONX
04/01/2020 12:00:00 AM,4966,BROOKLYN
04/01/2020 12:00:00 AM,1447,MANHATTAN
04/01/2020 12:00:00 AM,908,QUEENS
04/01/2020 12:00:00 AM,231,STATEN ISLAND
05/01/2020 12:00:00 AM,2936,BRONX
05/01/2020 12:00:00 AM,4482,BROOKLYN
05/01/2020 12:00:00 AM,1522,MANHATTAN
05/01/2020 12:00:00 AM,686,QUEENS
05/01/2020 12:00:00 AM,216,STATEN ISLAND
06/01/2020 12:00:00 AM,9916,BRONX
06/01/2020 12:00:00 AM,12316,BROOKLYN
06/01/2020 12:00:00 AM,5646,MANHATTAN
06/01/2020 12:00:00 AM,1760,QUEENS
06/01/2020 12:00:00 AM,398,STATEN ISLAND
07/01/2020 12:00:00 AM,10245,BRONX
07/01/2020 12:00:00 AM,15478,BROOKLYN
07/01/2020 12:00:00 AM,6178,MANHATTAN
07/01/2020 12:00:00 AM,2296,QUEENS
07/01/2020 12:00:00 AM,371,STATEN ISLAND
08/01/2020 12:00:00 AM,12923,BRONX
08/01/2020 12:00:00 AM,19509,BROOKLYN
08/01/2020 12:00:00 AM,8558,MANHATTAN
08/01/2020 12:00:00 AM,3222,QUEENS
08/01/2020 12:00:00 AM,444,STATEN ISLAND
09/01/2020 12:00:00 AM,12771,BRONX
09/01/2020 12:00:00 AM,18612,BROOKLYN
09/01/2020 12:00:00 AM,8814,MANHATTAN
09/01/2020 12:00:00 AM,4131,QUEENS
09/01/2020 12:00:00 AM,436,STATEN ISLAND
10/01/2020 12:00:00 AM,11371,BRONX
10/01/2020 12:00:00 AM,15164,BROOKLYN
10/01/2020 12:00:00 AM,7581,MANHATTAN
10/01/2020 12:00:00 AM,3370,QUEENS
10/01/2020 12:00:00 AM,514,STATEN ISLAND
11/01/2020 12:00:00 AM,10537,BRONX
11/01/2020 12:00:00 AM,17331,BROOKLYN
11/01/2020 12:00:00 AM,9069,MANHATTAN
11/01/2020 12:00:00 AM,3644,QUEENS
11/01/2020 12:00:00 AM,440,STATEN ISLAND
12/01/2020 12:00:00 AM,12883,BRONX
12/01/2020 12:00:00 AM,19509,BROOKLYN
12/01/2020 12:00:00 AM,9352,MANHATTAN
12/01/2020 12:00:00 AM,4444,QUEENS
12/01/2020 12:00:00 AM,870,STATEN ISLAND
01/01/2021 12:00:00 AM,10978,BRONX
01/01/2021 12:00:00 AM,17854,BROOKLYN
01/01/2021 12:00:00 AM,8400,MANHATTAN
01/01/2021 12:00:00 AM,4417,QUEENS
01/01/2021 12:00:00 AM,682,STATEN ISLAND
02/01/2021 12:00:00 AM,9647,BRONX
02/01/2021 12:00:00 AM,15028,BROOKLYN
02/01/2021 12:00:00 AM,7317,MANHATTAN
02/01/2021 12:00:00 AM,3387,QUEENS
02/01/2021 12:00:00 AM,377,STATEN ISLAND
03/01/2021 12:00:00 AM,18108,BRONX
03/01/2021 12:00:00 AM,20991,BROOKLYN
03/01/2021 12:00:00 AM,11650,MANHATTAN
03/01/2021 12:00:00 AM,5411,QUEENS
03/01/2021 12:00:00 AM,440,STATEN ISLAND
