DATE,BOROUGH,NYPD_COMPLAINT_COUNT,CODE_VIOLATION_COUNT,VACATE_ORDER_COUNT
2018-01-01,BRONX,8337.0,13430.0,25.0
2018-01-01,BROOKLYN,11193.0,17188.0,30.0
2018-01-01,MANHATTAN,9614.0,8279.0,13.0
2018-01-01,QUEENS,7450.0,4191.0,14.0
2018-01-01,STATEN ISLAND,1677.0,545.0,7.0
2018-01-01,,19.0,,
2018-02-01,BRONX,7800.0,12668.0,26.0
2018-02-01,BROOKLYN,10203.0,16124.0,13.0
2018-02-01,MANHATTAN,8859.0,9987.0,10.0
2018-02-01,QUEENS,6520.0,3197.0,11.0
2018-02-01,STATEN ISLAND,1528.0,472.0,5.0
2018-02-01,,15.0,,
2018-03-01,BRONX,8339.0,14376.0,16.0
2018-03-01,BROOKLYN,11284.0,18293.0,18.0
2018-03-01,MANHATTAN,9293.0,11053.0,8.0
2018-03-01,QUEENS,7187.0,3515.0,9.0
2018-03-01,STATEN ISLAND,1628.0,522.0,1.0
2018-03-01,,27.0,,
2018-04-01,BRONX,8257.0,14039.0,14.0
2018-04-01,BROOKLYN,11069.0,17638.0,18.0
2018-04-01,MANHATTAN,9423.0,10508.0,6.0
2018-04-01,QUEENS,7345.0,3780.0,9.0
2018-04-01,STATEN ISLAND,1772.0,563.0,2.0
2018-04-01,,28.0,,
2018-05-01,BRONX,8997.0,14644.0,18.0
2018-05-01,BROOKLYN,12370.0,16761.0,16.0
2018-05-01,MANHATTAN,10043.0,12224.0,9.0
2018-05-01,QUEENS,8241.0,3685.0,7.0
2018-05-01,STATEN ISLAND,1921.0,446.0,3.0
2018-05-01,,35.0,,
2018-06-01,BRONX,8685.0,13074.0,10.0
2018-06-01,BROOKLYN,11949.0,15877.0,16.0
2018-06-01,MANHATTAN,9921.0,11060.0,5.0
2018-06-01,QUEENS,8024.0,3767.0,11.0
2018-06-01,STATEN ISLAND,1848.0,489.0,
2018-06-01,,36.0,,
2018-07-01,BRONX,9190.0,12975.0,17.0
2018-07-01,BROOKLYN,12654.0,18492.0,22.0
2018-07-01,MANHATTAN,10280.0,11708.0,6.0
2018-07-01,QUEENS,8397.0,4128.0,9.0
2018-07-01,STATEN ISLAND,1938.0,436.0,2.0
2018-07-01,,34.0,,
2018-08-01,BRONX,9206.0,15370.0,20.0
2018-08-01,BROOKLYN,12531.0,19832.0,20.0
2018-08-01,MANHATTAN,10385.0,12242.0,5.0
2018-08-01,QUEENS,8142.0,4440.0,12.0
2018-08-01,STATEN ISLAND,1877.0,535.0,
2018-08-01,,30.0,,
2018-09-01,BRONX,8741.0,15832.0,3.0
