YEAR,DATE,BOROUGH,FIRE_COUNT,DOB/ECB_VIOLATION_COUNT,NYPD_COMPLAINT_COUNT,HOUSING_CODE_VIOLATION_COUNT,VACATE_ORDER_COUNT
2018,2018-01-01,BRONX,12016.0,12792.0,8337,13430.0,25.0
2018,2018-01-01,BROOKLYN,17129.0,29570.0,11193,17188.0,30.0
2018,2018-01-01,MANHATTAN,15650.0,20536.0,9614,8279.0,13.0
2018,2018-01-01,QUEENS,11670.0,21974.0,7450,4191.0,14.0
2018,2018-01-01,STATEN ISLAND,2836.0,2699.0,1677,545.0,7.0
2018,2018-02-01,BRONX,8971.0,,7800,12668.0,26.0
2018,2018-02-01,BROOKLYN,12096.0,,10203,16124.0,13.0
2018,2018-02-01,MANHATTAN,11552.0,,8859,9987.0,10.0
2018,2018-02-01,QUEENS,8589.0,,6520,3197.0,11.0
2018,2018-02-01,STATEN ISLAND,2094.0,,1528,472.0,5.0
2018,2018-03-01,BRONX,9924.0,,8339,14376.0,16.0
2018,2018-03-01,BROOKLYN,14139.0,,11284,18293.0,18.0
2018,2018-03-01,MANHATTAN,12611.0,,9293,11053.0,8.0
2018,2018-03-01,QUEENS,11112.0,,7187,3515.0,9.0
2018,2018-03-01,STATEN ISLAND,3472.0,,1628,522.0,1.0
2018,2018-04-01,BRONX,9289.0,,8257,14039.0,14.0
2018,2018-04-01,BROOKLYN,12425.0,,11069,17638.0,18.0
2018,2018-04-01,MANHATTAN,12381.0,,9423,10508.0,6.0
2018,2018-04-01,QUEENS,8953.0,,7345,3780.0,9.0
2018,2018-04-01,STATEN ISLAND,2188.0,,1772,563.0,2.0
2018,2018-05-01,BRONX,10296.0,,8997,14644.0,18.0
2018,2018-05-01,BROOKLYN,14369.0,,12370,16761.0,16.0
2018,2018-05-01,MANHATTAN,13882.0,,10043,12224.0,9.0
2018,2018-05-01,QUEENS,9976.0,,8241,3685.0,7.0
2018,2018-05-01,STATEN ISLAND,2494.0,,1921,446.0,3.0
2018,2018-06-01,BRONX,10416.0,,8685,13074.0,10.0
2018,2018-06-01,BROOKLYN,14155.0,,11949,15877.0,16.0
2018,2018-06-01,MANHATTAN,14182.0,,9921,11060.0,5.0
2018,2018-06-01,QUEENS,9713.0,,8024,3767.0,11.0
2018,2018-06-01,STATEN ISLAND,2380.0,,1848,489.0,
2018,2018-07-01,BRONX,11174.0,,9190,12975.0,17.0
2018,2018-07-01,BROOKLYN,15097.0,,12654,18492.0,22.0
2018,2018-07-01,MANHATTAN,14761.0,,10280,11708.0,6.0
2018,2018-07-01,QUEENS,10380.0,,8397,4128.0,9.0
2018,2018-07-01,STATEN ISLAND,2910.0,,1938,436.0,2.0
2018,2018-08-01,BRONX,11414.0,,9206,15370.0,20.0
2018,2018-08-01,BROOKLYN,15463.0,,12531,19832.0,20.0
2018,2018-08-01,MANHATTAN,14910.0,,10385,12242.0,5.0
2018,2018-08-01,QUEENS,10443.0,,8142,4440.0,12.0
2018,2018-08-01,STATEN ISLAND,2538.0,,1877,535.0,
2018,2018-09-01,BRONX,11048.0,,8741,15832.0,3.0
2018,2018-09-01,BROOKLYN,14926.0,,11817,16227.0,12.0
2018,2018-09-01,MANHATTAN,14449.0,,9708,11882.0,3.0
2018,2018-09-01,QUEENS,9974.0,,8046,4001.0,12.0
2018,2018-09-01,STATEN ISLAND,2374.0,,1751,814.0,1.0
2018,2018-10-01,BRONX,11027.0,,8678,19515.0,13.0
2018,2018-10-01,BROOKLYN,14791.0,,11929,20556.0,17.0
2018,2018-10-01,MANHATTAN,14836.0,,10206,12153.0,9.0
2018,2018-10-01,QUEENS,10248.0,,7941,4633.0,10.0
2018,2018-10-01,STATEN ISLAND,2473.0,,1867,1075.0,1.0
2018,2018-11-01,BRONX,10548.0,,8033,14889.0,17.0
2018,2018-11-01,BROOKLYN,14202.0,,11377,17791.0,18.0
2018,2018-11-01,MANHATTAN,14277.0,,9465,9478.0,3.0
2018,2018-11-01,QUEENS,10063.0,,7655,5169.0,14.0
2018,2018-11-01,STATEN ISLAND,2560.0,,1765,755.0,3.0
2018,2018-12-01,BRONX,10890.0,,9138,15465.0,9.0
2018,2018-12-01,BROOKLYN,14299.0,,12499,18628.0,18.0
2018,2018-12-01,MANHATTAN,13850.0,,11054,8787.0,5.0
2018,2018-12-01,QUEENS,10109.0,,8775,5229.0,10.0
2018,2018-12-01,STATEN ISLAND,2454.0,,1966,782.0,1.0
2019,2019-01-01,BRONX,8798.0,11786.0,7906,15610.0,11.0
2019,2019-01-01,BROOKLYN,12145.0,30200.0,10663,20161.0,17.0
2019,2019-01-01,MANHATTAN,11862.0,19796.0,8872,10381.0,12.0
2019,2019-01-01,QUEENS,8402.0,17904.0,7061,4562.0,13.0
2019,2019-01-01,STATEN ISLAND,2060.0,2506.0,1513,846.0,3.0
2019,2019-02-01,BRONX,7208.0,,6972,14599.0,10.0
2019,2019-02-01,BROOKLYN,9732.0,,9184,19245.0,15.0
2019,2019-02-01,MANHATTAN,9886.0,,7911,10739.0,7.0
2019,2019-02-01,QUEENS,6586.0,,6404,4184.0,15.0
2019,2019-02-01,STATEN ISLAND,1705.0,,1360,728.0,2.0
2019,2019-03-01,BRONX,7771.0,,8011,14538.0,16.0
2019,2019-03-01,BROOKLYN,10146.0,,10539,19645.0,16.0
2019,2019-03-01,MANHATTAN,10337.0,,9021,11670.0,2.0
2019,2019-03-01,QUEENS,7018.0,,7329,4859.0,14.0
2019,2019-03-01,STATEN ISLAND,1805.0,,1480,869.0,3.0
2019,2019-04-01,BRONX,7393.0,,7995,17922.0,15.0
2019,2019-04-01,BROOKLYN,9865.0,,10485,19435.0,17.0
2019,2019-04-01,MANHATTAN,10017.0,,9262,12011.0,3.0
2019,2019-04-01,QUEENS,6473.0,,7116,4688.0,12.0
2019,2019-04-01,STATEN ISLAND,1732.0,,1502,764.0,
2019,2019-05-01,BRONX,8024.0,,8845,16421.0,8.0
2019,2019-05-01,BROOKLYN,10654.0,,11563,20636.0,11.0
2019,2019-05-01,MANHATTAN,11015.0,,9994,12602.0,3.0
2019,2019-05-01,QUEENS,7189.0,,8079,4305.0,7.0
2019,2019-05-01,STATEN ISLAND,1963.0,,1678,653.0,
2019,2019-06-01,BRONX,8134.0,,8508,14872.0,13.0
2019,2019-06-01,BROOKLYN,11162.0,,11450,17471.0,8.0
2019,2019-06-01,MANHATTAN,11578.0,,10219,10679.0,7.0
2019,2019-06-01,QUEENS,7311.0,,8044,3850.0,14.0
2019,2019-06-01,STATEN ISLAND,2189.0,,1677,540.0,2.0
2019,2019-07-01,BRONX,9513.0,,9389,16516.0,13.0
2019,2019-07-01,BROOKLYN,12012.0,,12195,20380.0,24.0
2019,2019-07-01,MANHATTAN,12869.0,,10455,12040.0,8.0
2019,2019-07-01,QUEENS,8468.0,,8511,4685.0,11.0
2019,2019-07-01,STATEN ISLAND,2214.0,,1730,535.0,2.0
2019,2019-08-01,BRONX,9789.0,,9066,16176.0,14.0
2019,2019-08-01,BROOKLYN,13257.0,,11654,20651.0,20.0
2019,2019-08-01,MANHATTAN,13170.0,,10369,11600.0,5.0
2019,2019-08-01,QUEENS,8794.0,,8258,4053.0,8.0
2019,2019-08-01,STATEN ISLAND,2227.0,,1555,743.0,1.0
2019,2019-09-01,BRONX,10621.0,,8746,15640.0,15.0
2019,2019-09-01,BROOKLYN,14329.0,,11631,21181.0,16.0
2019,2019-09-01,MANHATTAN,13964.0,,10305,9750.0,5.0
2019,2019-09-01,QUEENS,9626.0,,7862,3755.0,11.0
2019,2019-09-01,STATEN ISLAND,2463.0,,1709,487.0,1.0
2019,2019-10-01,BRONX,10066.0,,8617,16246.0,7.0
2019,2019-10-01,BROOKLYN,13741.0,,11345,21451.0,21.0
2019,2019-10-01,MANHATTAN,13405.0,,10295,9506.0,5.0
2019,2019-10-01,QUEENS,9371.0,,7796,3823.0,14.0
2019,2019-10-01,STATEN ISLAND,2237.0,,1657,617.0,2.0
2019,2019-11-01,BRONX,9469.0,,8069,13749.0,7.0
2019,2019-11-01,BROOKLYN,12400.0,,10381,18635.0,16.0
2019,2019-11-01,MANHATTAN,12359.0,,9323,9647.0,9.0
2019,2019-11-01,QUEENS,8765.0,,7655,4124.0,10.0
2019,2019-11-01,STATEN ISLAND,2089.0,,1463,685.0,1.0
2019,2019-12-01,BRONX,10181.0,,7975,14352.0,10.0
2019,2019-12-01,BROOKLYN,13585.0,,10331,18868.0,13.0
2019,2019-12-01,MANHATTAN,12750.0,,9292,10057.0,3.0
2019,2019-12-01,QUEENS,9230.0,,7481,4658.0,13.0
2019,2019-12-01,STATEN ISLAND,2191.0,,1477,971.0,
2018,2018-01-01,,,,19,,
2018,2018-02-01,,,,15,,
2018,2018-03-01,,,,27,,
2018,2018-04-01,,,,28,,
2018,2018-05-01,,,,35,,
2018,2018-06-01,,,,36,,
2018,2018-07-01,,,,34,,
2018,2018-08-01,,,,30,,
2018,2018-09-01,,,,28,,
2018,2018-10-01,,,,27,,
2018,2018-11-01,,,,22,,
2018,2018-12-01,,,,30,,
2019,2019-01-01,,,,24,,
2019,2019-02-01,,,,23,,
2019,2019-03-01,,,,16,,
2019,2019-04-01,,,,20,,
2019,2019-05-01,,,,17,,
2019,2019-06-01,,,,29,,
2019,2019-07-01,,,,34,,
2019,2019-08-01,,,,36,,
