INCIDENT_DATETIME,INCIDENT_BOROUGH,STARFIRE_INCIDENT_ID
01/01/2018 12:00:00 AM,BRONX,12016
01/01/2018 12:00:00 AM,BROOKLYN,17129
01/01/2018 12:00:00 AM,MANHATTAN,15650
01/01/2018 12:00:00 AM,QUEENS,11670
01/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2836
02/01/2018 12:00:00 AM,BRONX,8971
02/01/2018 12:00:00 AM,BROOKLYN,12096
02/01/2018 12:00:00 AM,MANHATTAN,11552
02/01/2018 12:00:00 AM,QUEENS,8589
02/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2094
03/01/2018 12:00:00 AM,BRONX,9924
03/01/2018 12:00:00 AM,BROOKLYN,14139
03/01/2018 12:00:00 AM,MANHATTAN,12611
03/01/2018 12:00:00 AM,QUEENS,11112
03/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,3472
04/01/2018 12:00:00 AM,BRONX,9289
04/01/2018 12:00:00 AM,BROOKLYN,12425
04/01/2018 12:00:00 AM,MANHATTAN,12381
04/01/2018 12:00:00 AM,QUEENS,8953
04/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2188
05/01/2018 12:00:00 AM,BRONX,10296
05/01/2018 12:00:00 AM,BROOKLYN,14369
05/01/2018 12:00:00 AM,MANHATTAN,13882
05/01/2018 12:00:00 AM,QUEENS,9976
05/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2494
06/01/2018 12:00:00 AM,BRONX,10416
06/01/2018 12:00:00 AM,BROOKLYN,14155
06/01/2018 12:00:00 AM,MANHATTAN,14182
06/01/2018 12:00:00 AM,QUEENS,9713
06/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2380
07/01/2018 12:00:00 AM,BRONX,11174
07/01/2018 12:00:00 AM,BROOKLYN,15097
07/01/2018 12:00:00 AM,MANHATTAN,14761
07/01/2018 12:00:00 AM,QUEENS,10380
07/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2910
08/01/2018 12:00:00 AM,BRONX,11414
08/01/2018 12:00:00 AM,BROOKLYN,15463
08/01/2018 12:00:00 AM,MANHATTAN,14910
08/01/2018 12:00:00 AM,QUEENS,10443
08/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2538
09/01/2018 12:00:00 AM,BRONX,11048
09/01/2018 12:00:00 AM,BROOKLYN,14926
09/01/2018 12:00:00 AM,MANHATTAN,14449
09/01/2018 12:00:00 AM,QUEENS,9974
09/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2374
10/01/2018 12:00:00 AM,BRONX,11027
10/01/2018 12:00:00 AM,BROOKLYN,14791
10/01/2018 12:00:00 AM,MANHATTAN,14836
10/01/2018 12:00:00 AM,QUEENS,10248
10/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2473
11/01/2018 12:00:00 AM,BRONX,10548
11/01/2018 12:00:00 AM,BROOKLYN,14202
11/01/2018 12:00:00 AM,MANHATTAN,14277
11/01/2018 12:00:00 AM,QUEENS,10063
11/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2560
12/01/2018 12:00:00 AM,BRONX,10890
12/01/2018 12:00:00 AM,BROOKLYN,14299
12/01/2018 12:00:00 AM,MANHATTAN,13850
12/01/2018 12:00:00 AM,QUEENS,10109
12/01/2018 12:00:00 AM,RICHMOND / STATEN ISLAND,2454
01/01/2019 12:00:00 AM,BRONX,8798
01/01/2019 12:00:00 AM,BROOKLYN,12145
01/01/2019 12:00:00 AM,MANHATTAN,11862
01/01/2019 12:00:00 AM,QUEENS,8402
01/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,2060
02/01/2019 12:00:00 AM,BRONX,7208
02/01/2019 12:00:00 AM,BROOKLYN,9732
02/01/2019 12:00:00 AM,MANHATTAN,9886
02/01/2019 12:00:00 AM,QUEENS,6586
02/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,1705
03/01/2019 12:00:00 AM,BRONX,7771
03/01/2019 12:00:00 AM,BROOKLYN,10146
03/01/2019 12:00:00 AM,MANHATTAN,10337
03/01/2019 12:00:00 AM,QUEENS,7018
03/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,1805
04/01/2019 12:00:00 AM,BRONX,7393
04/01/2019 12:00:00 AM,BROOKLYN,9865
04/01/2019 12:00:00 AM,MANHATTAN,10017
04/01/2019 12:00:00 AM,QUEENS,6473
04/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,1732
05/01/2019 12:00:00 AM,BRONX,8024
05/01/2019 12:00:00 AM,BROOKLYN,10654
05/01/2019 12:00:00 AM,MANHATTAN,11015
05/01/2019 12:00:00 AM,QUEENS,7189
05/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,1963
06/01/2019 12:00:00 AM,BRONX,8134
06/01/2019 12:00:00 AM,BROOKLYN,11162
06/01/2019 12:00:00 AM,MANHATTAN,11578
06/01/2019 12:00:00 AM,QUEENS,7311
06/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,2189
07/01/2019 12:00:00 AM,BRONX,9513
07/01/2019 12:00:00 AM,BROOKLYN,12012
07/01/2019 12:00:00 AM,MANHATTAN,12869
07/01/2019 12:00:00 AM,QUEENS,8468
07/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,2214
08/01/2019 12:00:00 AM,BRONX,9789
08/01/2019 12:00:00 AM,BROOKLYN,13257
08/01/2019 12:00:00 AM,MANHATTAN,13170
08/01/2019 12:00:00 AM,QUEENS,8794
08/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,2227
09/01/2019 12:00:00 AM,BRONX,10621
09/01/2019 12:00:00 AM,BROOKLYN,14329
09/01/2019 12:00:00 AM,MANHATTAN,13964
09/01/2019 12:00:00 AM,QUEENS,9626
09/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,2463
10/01/2019 12:00:00 AM,BRONX,10066
10/01/2019 12:00:00 AM,BROOKLYN,13741
10/01/2019 12:00:00 AM,MANHATTAN,13405
10/01/2019 12:00:00 AM,QUEENS,9371
10/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,2237
11/01/2019 12:00:00 AM,BRONX,9469
11/01/2019 12:00:00 AM,BROOKLYN,12400
11/01/2019 12:00:00 AM,MANHATTAN,12359
11/01/2019 12:00:00 AM,QUEENS,8765
11/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,2089
12/01/2019 12:00:00 AM,BRONX,10181
12/01/2019 12:00:00 AM,BROOKLYN,13585
12/01/2019 12:00:00 AM,MANHATTAN,12750
12/01/2019 12:00:00 AM,QUEENS,9230
12/01/2019 12:00:00 AM,RICHMOND / STATEN ISLAND,2191
01/01/2020 12:00:00 AM,BRONX,9560
01/01/2020 12:00:00 AM,BROOKLYN,12903
01/01/2020 12:00:00 AM,MANHATTAN,12192
01/01/2020 12:00:00 AM,QUEENS,8964
01/01/2020 12:00:00 AM,RICHMOND / STATEN ISLAND,2098
02/01/2020 12:00:00 AM,BRONX,8756
02/01/2020 12:00:00 AM,BROOKLYN,11972
02/01/2020 12:00:00 AM,MANHATTAN,11414
02/01/2020 12:00:00 AM,QUEENS,8137
02/01/2020 12:00:00 AM,RICHMOND / STATEN ISLAND,1948
03/01/2020 12:00:00 AM,BRONX,6352
03/01/2020 12:00:00 AM,BROOKLYN,8632
03/01/2020 12:00:00 AM,MANHATTAN,7517
03/01/2020 12:00:00 AM,QUEENS,5759
03/01/2020 12:00:00 AM,RICHMOND / STATEN ISLAND,1435
04/01/2020 12:00:00 AM,BRONX,7700
04/01/2020 12:00:00 AM,BROOKLYN,9875
04/01/2020 12:00:00 AM,MANHATTAN,7066
04/01/2020 12:00:00 AM,QUEENS,7277
04/01/2020 12:00:00 AM,RICHMOND / STATEN ISLAND,1616
05/01/2020 12:00:00 AM,BRONX,8742
05/01/2020 12:00:00 AM,BROOKLYN,10958
05/01/2020 12:00:00 AM,MANHATTAN,8869
05/01/2020 12:00:00 AM,QUEENS,7219
05/01/2020 12:00:00 AM,RICHMOND / STATEN ISLAND,1872
06/01/2020 12:00:00 AM,BRONX,10576
06/01/2020 12:00:00 AM,BROOKLYN,14175
06/01/2020 12:00:00 AM,MANHATTAN,11274
06/01/2020 12:00:00 AM,QUEENS,9085
06/01/2020 12:00:00 AM,RICHMOND / STATEN ISLAND,2269
07/01/2020 12:00:00 AM,BRONX,11864
07/01/2020 12:00:00 AM,BROOKLYN,15477
07/01/2020 12:00:00 AM,MANHATTAN,12909
07/01/2020 12:00:00 AM,QUEENS,10525
07/01/2020 12:00:00 AM,RICHMOND / STATEN ISLAND,2680
08/01/2020 12:00:00 AM,BRONX,11654
08/01/2020 12:00:00 AM,BROOKLYN,15416
08/01/2020 12:00:00 AM,MANHATTAN,12593
08/01/2020 12:00:00 AM,QUEENS,12460
08/01/2020 12:00:00 AM,RICHMOND / STATEN ISLAND,3256
09/01/2020 12:00:00 AM,BRONX,10514
09/01/2020 12:00:00 AM,BROOKLYN,13367
09/01/2020 12:00:00 AM,MANHATTAN,11933
09/01/2020 12:00:00 AM,QUEENS,9294
